Revenue,Size,Rating,Headquarters
Unknown / Non-Applicable,1001 to 5000 employees,3.1,"New York, NY"
$1 to $2 billion (USD),5001 to 10000 employees,4.2,"Herndon, VA"
$100 to $500 million (USD),1001 to 5000 employees,3.8,"Boston, MA"
$100 to $500 million (USD),501 to 1000 employees,3.5,"Bad Ragaz, Switzerland"
Unknown / Non-Applicable,51 to 200 employees,2.9,"New York, NY"
Unknown / Non-Applicable,51 to 200 employees,4.2,"Santa Barbara, CA"
$10+ billion (USD),10000+ employees,3.9,"Basel, Switzerland"
$1 to $2 billion (USD),1001 to 5000 employees,3.5,"Bedford, MA"
$2 to $5 billion (USD),5001 to 10000 employees,4.4,"Mountain View, CA"
Unknown / Non-Applicable,51 to 200 employees,3.6,"Chicago, IL"
$100 to $500 million (USD),501 to 1000 employees,4.5,"Mc Lean, VA"
Unknown / Non-Applicable,51 to 200 employees,4.7,"Saint Louis, MO"
$500 million to $1 billion (USD),1001 to 5000 employees,3.7,"Richland, WA"
$1 to $2 billion (USD),201 to 500 employees,3.1,"Northbrook, IL"
$100 to $500 million (USD),1001 to 5000 employees,3.4,"Princeton, NJ"
Unknown / Non-Applicable,1 to 50 employees,4.4,"Mays Landing, NJ"
Unknown / Non-Applicable,51 to 200 employees,4.1,"Washington, DC"
$500 million to $1 billion (USD),1001 to 5000 employees,3.5,"Memphis, TN"
$5 to $10 billion (USD),5001 to 10000 employees,4.2,"Tempe, AZ"
Unknown / Non-Applicable,5001 to 10000 employees,3.5,"Reading, PA"
Unknown / Non-Applicable,51 to 200 employees,3.2,"San Francisco, CA"
$100 to $500 million (USD),51 to 200 employees,4.3,"New York, NY"
$100 to $500 million (USD),1001 to 5000 employees,3.5,"Menlo Park, CA"
$5 to $10 billion (USD),5001 to 10000 employees,3.5,"New York, NY"
$10 to $25 million (USD),51 to 200 employees,3.4,"Chicago, IL"
$25 to $50 million (USD),51 to 200 employees,4.7,"Atlanta, GA"
$100 to $500 million (USD),51 to 200 employees,4.2,"Orlando, FL"
Unknown / Non-Applicable,1001 to 5000 employees,3.8,"Lexington, MA"
$25 to $50 million (USD),51 to 200 employees,4.5,"Falls Church, VA"
Unknown / Non-Applicable,51 to 200 employees,2.8,"San Francisco, CA"
$100 to $500 million (USD),1001 to 5000 employees,3.8,"Boston, MA"
$10+ billion (USD),10000+ employees,3.9,"Basel, Switzerland"
Unknown / Non-Applicable,1 to 50 employees,5.0,"Boston, MA"
$1 to $2 billion (USD),1001 to 5000 employees,4.8,"Sheboygan, WI"
$50 to $100 million (USD),201 to 500 employees,3.6,"Seattle, WA"
$2 to $5 billion (USD),1001 to 5000 employees,3.3,"Bellevue, WA"
$50 to $100 million (USD),1001 to 5000 employees,2.7,"Lincoln, NE"
Unknown / Non-Applicable,501 to 1000 employees,2.7,"New York, NY"
$1 to $5 million (USD),1 to 50 employees,2.2,"Chantilly, VA"
$100 to $500 million (USD),501 to 1000 employees,3.4,"Santa Monica, CA"
$100 to $500 million (USD),501 to 1000 employees,3.1,"Boston, MA"
$10+ billion (USD),10000+ employees,3.4,"Boston, MA"
$100 to $500 million (USD),1001 to 5000 employees,2.6,"Ewing, NJ"
Unknown / Non-Applicable,51 to 200 employees,5.0,"South San Francisco, CA"
$10 to $25 million (USD),51 to 200 employees,4.2,"Palo Alto, CA"
$10+ billion (USD),10000+ employees,4.1,"New York, NY"
Unknown / Non-Applicable,201 to 500 employees,4.8,"Boston, MA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Bellevue, WA"
Unknown / Non-Applicable,1001 to 5000 employees,3.7,"Singapore, Singapore"
Unknown / Non-Applicable,201 to 500 employees,4.3,"Cambridge, MA"
$10 to $25 million (USD),1 to 50 employees,4.8,"San Francisco, CA"
$10+ billion (USD),10000+ employees,3.7,"OSAKA, Japan"
Unknown / Non-Applicable,501 to 1000 employees,4.0,"Santa Clara, CA"
$10 to $25 million (USD),51 to 200 employees,4.8,"Vienna, VA"
Unknown / Non-Applicable,51 to 200 employees,3.5,"New Orleans, LA"
$100 to $500 million (USD),5001 to 10000 employees,3.7,"Akron, OH"
$1 to $5 million (USD),201 to 500 employees,3.5,"Saint Louis, MO"
$2 to $5 billion (USD),1001 to 5000 employees,4.1,"San Francisco, CA"
Unknown / Non-Applicable,1001 to 5000 employees,3.2,"San Francisco, CA"
$25 to $50 million (USD),201 to 500 employees,4.5,"Saint Louis, MO"
$10+ billion (USD),10000+ employees,3.8,"Zurich, Switzerland"
$100 to $500 million (USD),201 to 500 employees,4.5,"Woburn, MA"
$1 to $2 billion (USD),1001 to 5000 employees,3.5,"Bedford, MA"
Unknown / Non-Applicable,51 to 200 employees,4.2,"Santa Barbara, CA"
$100 to $500 million (USD),201 to 500 employees,3.8,"Carson, CA"
$100 to $500 million (USD),1001 to 5000 employees,3.7,"Coral Gables, FL"
Unknown / Non-Applicable,501 to 1000 employees,3.7,"New York, NY"
$50 to $100 million (USD),1001 to 5000 employees,4.0,"San Ramon, CA"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
Unknown / Non-Applicable,1 to 50 employees,2.5,"Brisbane, CA"
$25 to $50 million (USD),51 to 200 employees,4.2,"Winter Park, FL"
Unknown / Non-Applicable,501 to 1000 employees,3.3,"Chicago, IL"
